2018-02-05 13:09:50,796 [6] INFO  - MVC - Application_Start_Done, 
2018-02-05 13:09:50,957 [6] INFO  - MVC - Begin Request http://localhost:5179/, 
2018-02-05 13:09:51,062 [10] INFO  - MVC - Begin Request http://localhost:5179/, 
2018-02-05 13:09:51,074 [6] INFO  - MVC - Begin Request http://localhost:5179/, 
2018-02-05 13:10:23,026 [6] INFO  - MVC - Begin Request http://localhost:5179/Master/NotAuthorize, 
2018-02-05 13:10:23,217 [6] INFO  - MVC - Start Feedback form and ID = 0, 
2018-02-05 13:10:23,654 [6] INFO  - WCF - Called Helper.IsGroupMember true, 
2018-02-05 13:10:23,654 [8] INFO  - WCF - Helper GetFormData Condition passed for appname=Feedbacks, formNameFeedback Form, User Id=22, 
2018-02-05 13:10:23,655 [13] INFO  - WCF - Helper.GetButtons for role 'Creator', appName='Feedbacks', formName='Feedback Form', 
2018-02-05 13:10:23,677 [8] INFO  - WCF - Called Helper GetFormData, 
2018-02-05 13:10:28,965 [13] INFO  - WCF - Called Helper.GetEnableSectionNames {"Feedback Detail Section":true}, 
2018-02-05 13:10:29,151 [8] INFO  - WCF - Get All SLA Matrix Data  from Sharepoint root Site, 
2018-02-05 13:10:38,825 [13] INFO  - MVC - Begin Ajax Request http://localhost:5179/__browserLink/requestData/2b61723f312e41dca332334ebc7063f2?version=2, 
2018-02-05 13:10:41,555 [13] INFO  - WCF - called Helper.GetFormData, 
2018-02-05 13:10:42,261 [8] INFO  - WCF - Helper.GetNameFromPersonField, String="Training Management Sytem User 2"
2018-02-05 13:10:42,267 [8] INFO  - WCF - Helper.GetNameFromPersonField, Int32=24
2018-02-05 13:10:42,272 [8] INFO  - WCF - Helper.GetNameFromPersonField, Int32=22
2018-02-05 13:10:42,278 [8] INFO  - WCF - Helper.GetNameFromPersonField, String="DCR DCN Management Sytem User 2"
2018-02-05 13:10:42,284 [8] INFO  - WCF - Helper.GetNameFromPersonField, Int32=23
2018-02-05 13:10:42,262 [10] INFO  - WCF - Helper.GetNameFromPersonField, Int32=25
2018-02-05 13:10:42,261 [13] INFO  - WCF - Helper.GetNameFromPersonField, String="Training Management Sytem User 1"
2018-02-05 13:10:42,267 [6] INFO  - WCF - Helper.GetNameFromPersonField, String="SharePoint Notifications"
2018-02-05 13:10:43,072 [8] INFO  - WCF - Get All Buttons from Sharepoint, 
2018-02-05 13:10:43,072 [13] INFO  - WCF - Helper.GetAllButtons, 
2018-02-05 13:10:47,886 [6] INFO  - WCF - Helper.GetButtons for role 'Creator', appName='Feedbacks', formName='Feedback Form', status='', other params={}, 
2018-02-05 13:10:53,304 [10] INFO  - MVC - Begin Request http://localhost:5179/Master/NotAuthorize, 
2018-02-05 13:10:53,601 [10] INFO  - MVC - Begin Ajax Request http://localhost:5179/__browserLink/requestData/2a2ef18ea84646f2a91ec3065cd3672f?version=2, 
2018-02-05 13:11:56,740 [5] INFO  - MVC - Begin Request http://localhost:5179/Master/NotAuthorize, 
2018-02-05 13:11:56,990 [5] INFO  - MVC - Begin Ajax Request http://localhost:5179/__browserLink/requestData/cd6f0baa41784ceca01a13db20803dbe?version=2, 
2018-02-05 13:11:59,289 [13] INFO  - MVC - Begin Request http://localhost:5179/, 
2018-02-05 13:12:00,022 [10] INFO  - WCF - Helper.GetButtons for role 'Creator', appName='Feedbacks', formName='Feedback Form', 
2018-02-05 13:12:00,023 [13] INFO  - WCF - Called Helper.IsGroupMember true, 
2018-02-05 13:12:00,042 [5] INFO  - WCF - Helper GetFormData Condition passed for appname=Feedbacks, formNameFeedback Form, User Id=22, 
2018-02-05 13:12:00,044 [7] INFO  - WCF - Called Helper GetFormData, 
2018-02-05 13:12:00,042 [15] INFO  - MVC - Start Feedback form and ID = 0, 
2018-02-05 13:12:03,692 [12] INFO  - WCF - Called Helper.GetEnableSectionNames {"Feedback Detail Section":true}, 
2018-02-05 13:12:03,708 [7] INFO  - WCF - called Helper.GetFormData, 
2018-02-05 13:12:03,726 [15] INFO  - WCF - Helper.GetButtons for role 'Creator', appName='Feedbacks', formName='Feedback Form', status='', other params={}, 
2018-02-05 13:12:04,630 [5] INFO  - MVC - Begin Ajax Request http://localhost:5179/__browserLink/requestData/8672d826972747ea8f96bb2c32122ad8?version=2, 
2018-02-05 13:12:09,928 [13] INFO  - MVC - Begin Request http://localhost:5179/, 
2018-02-05 13:12:10,903 [7] INFO  - WCF - Called Helper.IsGroupMember true, 
